option,geography_level,geography_id,total_records,sex_available,sex_female,sex_male,sex_unknown_or_missing,age_available,age_under_1,age_1_4,age_5_14,age_15_24,age_25_44,age_45,age_unknown,lab_available,lab_positive,lab_negative,lab_other,lab_missing,doses_available,doses_0,doses_1,doses_2,doses_unknown_or_missing,case_definition_available,case_definition_yes,case_definition_no,case_definition_unknown_or_missing,onset_year_available,onset_year_2017,onset_year_2018,onset_year_2019,onset_year_2020,onset_year_2021,onset_year_2022,onset_year_2023,onset_year_unknown
k2_singleton_rollup,district_aggregate,AREA-001,6,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,6
k2_singleton_rollup,district_aggregate,AREA-002,10,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,10
k2_singleton_rollup,district_aggregate,AREA-003,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,district_aggregate,AREA-004,6,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,6
k2_singleton_rollup,district_aggregate,AREA-005,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,district_aggregate,AREA-006,9,no,,,,no,,,,,,,,yes,0,0,0,9,yes,0,0,0,9,yes,0,0,9,yes,0,0,0,0,0,0,0,9
k2_singleton_rollup,district_aggregate,AREA-007,10,no,,,,no,,,,,,,,no,,,,,no,,,,,yes,10,0,0,yes,0,0,0,0,0,0,0,10
k2_singleton_rollup,district_aggregate,AREA-008,11,yes,6,5,0,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,11
k2_singleton_rollup,district_aggregate,AREA-009,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,district_aggregate,AREA-010,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,district_aggregate,AREA-011,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,district_aggregate,AREA-012,7,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,7
k2_singleton_rollup,district_aggregate,AREA-014,6,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,6
k2_singleton_rollup,district_aggregate,AREA-015,5,no,,,,yes,0,5,0,0,0,0,0,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,5
k2_singleton_rollup,district_aggregate,AREA-016,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,district_aggregate,AREA-017,22,yes,6,16,0,no,,,,,,,,no,,,,,no,,,,,yes,7,0,15,yes,0,0,0,0,0,0,0,22
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0001,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0002,12,yes,7,5,0,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,12
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0003,13,no,,,,no,,,,,,,,yes,8,5,0,0,yes,7,0,0,6,yes,7,0,6,yes,0,0,0,0,0,0,0,13
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0005,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0007,14,yes,7,7,0,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,14
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0008,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0010,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0011,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0013,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0014,10,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,yes,0,0,0,0,0,0,0,10
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0015,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0018,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0019,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0021,3,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0022,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0025,27,yes,10,17,0,no,,,,,,,,no,,,,,no,,,,,yes,11,0,16,yes,0,0,0,0,0,0,0,27
k2_singleton_rollup,pseudonymous_reporting_unit,RU-0027,2,no,,,,no,,,,,,,,no,,,,,no,,,,,no,,,,no,,,,,,,,
